brand,category,coupon,features,id,image,name,price,size,uomSalePrice
0,Central Market,Dairy & Eggs/Milk,0.0,  ORGANIC.  GO LOCAL.,931316,https://images.heb.com/is/image/HEBGrocery/prd-small/central-market-organics-whole-milk-000931316.jpg,"Central Market Organics Whole Milk, 1 gal",5.85,", 1 gal",($0.05/oz)
1,Central Market,Dairy & Eggs/Milk,0.0,  ORGANIC.  GO LOCAL.,931317,https://images.heb.com/is/image/HEBGrocery/prd-small/central-market-organics-reduced-fat-2-milkfat-milk-000931317.jpg,"Central Market Organics Reduced Fat 2% Milkfat Milk, 1 gal",5.85,"fat Milk, 1 gal",($0.05/oz)
2,H-E-B,Dairy & Eggs/Milk,0.0,  GO LOCAL.  SELECT INGREDIENTS. Primo Pick.,671076,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-mootopia-lactose-free-2-reduced-fat-milk-000671076.jpg,"H‑E‑B Select Ingredients MooTopia Lactose Free 2% Reduced Fat Milk, 1/2 gal",4.1,", 1/2 gal",($0.07/oz)
3,H-E-B,Dairy & Eggs/Milk,1.0,  CARB AWARE.  LOW SATURATED FAT.  GO LOCAL.  SELECT INGREDIENTS.,314136,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-fat-free-milk-000314136.jpg,"H‑E‑B Select Ingredients Fat Free Milk, 1/2 gal",1.88,", 1/2 gal",($0.03/oz)
4,H-E-B,Dairy & Eggs/Milk,1.0,  GO LOCAL.  SELECT INGREDIENTS.,314134,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-1-low-fat-milk-000314134.jpg,"H‑E‑B Select Ingredients 1% Low Fat Milk, 1/2 gal",1.88,", 1/2 gal",($0.03/oz)
5,H-E-B,Dairy & Eggs/Milk,0.0,  CARB AWARE.  LOW SATURATED FAT.  GO LOCAL.  SELECT INGREDIENTS. Primo Pick.,671075,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-mootopia-lactose-free-fat-free-milk-000671075.jpg,"H‑E‑B Select Ingredients MooTopia Lactose Free Fat Free Milk, 1/2 gal",4.1,", 1/2 gal",($0.07/oz)
6,H-E-B,Dairy & Eggs/Milk,0.0,  GO LOCAL. Primo Pick.,730555,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-mootopia-lactose-free-chocolate-2-reduced-fat-milk-000730555.jpg,"H‑E‑B MooTopia Lactose Free Chocolate 2% Reduced Fat Milk, 1/2 gal",4.1,", 1/2 gal",($0.07/oz)
7,Central Market,Dairy & Eggs/Milk,0.0,  KOSHER.  LOW SODIUM.  VEGETARIAN.  ORGANIC.  GO LOCAL.,1770593,https://images.heb.com/is/image/HEBGrocery/prd-small/central-market-organics-2-reduced-fat-milk-001770593.jpg,"Central Market Organics 2% Reduced Fat Milk, 1 qt",2.04,", 1 qt",($0.07/oz)
8,H-E-B,Dairy & Eggs/Milk,0.0,  GO LOCAL.  SELECT INGREDIENTS.,314129,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-low-fat-1-milk-000314129.jpg,"H‑E‑B Select Ingredients Low Fat 1% Milk, 1 gal",3.38,", 1 gal",($0.03/oz)
9,H-E-B,Dairy & Eggs/Milk,1.0,  GO LOCAL.  SELECT INGREDIENTS.,481244,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-reduced-fat-2-milk-000481244.jpg,"H‑E‑B Select Ingredients Reduced Fat 2% Milk, 1/2 gal",1.88,", 1/2 gal",($0.03/oz)
10,H-E-B,Dairy & Eggs/Milk,0.0,  GO LOCAL.  SELECT INGREDIENTS.,629468,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-lactose-free-whole-milk-000629468.jpg,"H‑E‑B Select Ingredients Lactose Free Whole Milk, 1/2 gal",2.96,", 1/2 gal",($0.05/oz)
11,H-E-B,Dairy & Eggs/Milk,0.0,  SELECT INGREDIENTS.,1280425,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-select-ingredients-lactose-free-reduced-fat-2-milk-001280425.jpg,"H‑E‑B Select Ingredients Lactose Free Reduced Fat 2% Milk, 1/2 gal",2.96,", 1/2 gal",($0.05/oz)
12,H-E-B,Dairy & Eggs/Milk,0.0,,4557001,https://images.heb.com/is/image/HEBGrocery/prd-small/h-e-b-original-oat-milk-004557001.jpg,"H‑E‑B Original Oat Milk, 64 oz",3.58,", 64 oz",($0.06/fl oz)
